,ID,FULL TEXT,CREATED AT
45,1319668461157584900,"2020.10.23

පුද්ගලයන් ලියාපදිංචි කිරීමේ දෙපාර්තමේන්තුවේ එක් දින සේවාවන් ඇතුළු මහජන සේවාවන් නැවත දැනුම් දෙනතුරු තාවකාලිකව අත්හිටුවයි

-කොමසාරිස් ජනරාල්

#DGI #Government #Information #Department #News #infodprtsl #Srilanka https://t.co/4XAbtFbFMO",2020-10-23 15:54:14
46,1319566337140809728,කහ වලට එකට එකක් හාල් කවලම් කරන ඇඹරුම්හලක් මහනුවරින් වටලයි https://t.co/PggsPqgJ5o #srilanka #lka #news #news #breaking #today #president,2020-10-23 09:08:25
47,1319354994475339778,20 ට සහය දුන් මුස්ලිම් මන්ත්‍රීවරයෙකුට තුෂාර ඉදුනිල් රු 20ක් දී පාර්ලිමේන්තුවේ දැම්ම නෝන්ඩිය https://t.co/qnXpmM1ib4 #srilanka #lka #news #news #breaking #today #president,2020-10-22 19:08:37
48,1319269781313179649,Facebook Dating පහසුකම යුරෝපයීය රටවල් වලට ද ලබාදීමට Facebook ආයතනය කටයුතු කරයි #TechNewsLK #SriLanka #News https://t.co/GZmZO6jAVq,2020-10-22 13:30:01
49,1319239580642467841,2020 වසරට අදාළව ලෝකයේ වැඩිම වටිනාකමකින් යුත් වෙළඳනාමය බවට Apple පත්වෙයි #TechNewsLK #SriLanka #News https://t.co/P39J7kMR3h,2020-10-22 11:30:00
50,1318901107557498880,OnePlus 9 series එක ලබන වසරේ මාර්තු මාසයේදී එළිදැක්වීමට සූදානම් වන ලකුණු #TechNewsLK #SriLanka #News https://t.co/JuEQM82K4i,2020-10-21 13:05:02
51,1318877191589953536,Intel සමාගම ඔවුන්ගේ SSD ව්‍යාපාරය ‍ඩොළර් බිලියන 9ක මුදලකට කොරියානු සමාගමකට විකුණා දැමීමට තීරණය කරයි #TechNewsLK #SriLanka #News https://t.co/UhPAnRBKJk,2020-10-21 11:30:00
52,1318852801061998592,සල්මන් කාන්ගේ පවුල ලංකා ප්‍රීමියර් ලීග් (එල්පීඑල්) කණ්ඩායමක් මිලට ගනී https://t.co/dsO0Lj81hY #news- sri lanka #feedly,2020-10-21 09:53:05
53,1318852701745147905,කොට්ටාව මාලු වෙළඳසැලේ සිව්දෙනෙකුට කොරෝනා https://t.co/2v7jyoLr6bකොට්ටාව-මාලු-වෙළඳසැලේ-සිව්දෙනෙකුට-කොරෝනා/1-580900 #news- sri lanka #feedly,2020-10-21 09:52:41
54,1318847496177659907,ස්වීඩනයේ 5G network වලට Huawei සහ ZTE සමාගම් වල නිශ්පාදිත උපාංග භාවිතා කිරීම තහනම් කරයි #TechNewsLK #SriLanka #News https://t.co/Z84qqSTwPJ,2020-10-21 09:32:00
55,1318826423222755328,නොකළ වරදකට සිරගත කළා එදා තමයි මේ දරුවගේ ජීවිතේ අඳුරු වුණේ - මදූෂ්ගේ නැන්දයි මාමයි කිව්ව කතාව https://t.co/HwYyB8NwZU #srilanka #lka #news #news #breaking #today #president,2020-10-21 08:08:16
56,1318796512277811202,20 ගැන ශ්‍රී ලංකා නිදහස් පක්ශයේ මතය https://t.co/Y9cWHNGoib #srilanka #lka #news #news #breaking #today #president,2020-10-21 06:09:25
57,1318781225847324672,"රංජන්ගේ මැම්බර් | 2020.10.20

#lka #SriLanka #RanjangeMamber #media #COVID_19 #COVID19SL #Government #Information #Department #News #infodprtsl #coronavirus #covid #corona #socialdistancing #virus #coronav #pandemic @infodprtsl

https://t.co/7WQl1DzhUj https://t.co/gbViirZsq5",2020-10-21 05:08:40
58,1318725358275891201,"දිවයින වටා වන සෙසු මුහුදු ප්‍රදේශ මද වශයෙන් රළු වේ.
#News #AdaDeranaSinhala
#අදදෙරණ #අදදෙරණසිංහල #COVID19outbreak #COVID #lockdown #QuaratineLife #StayAtHome #COVIDー19 #lka #SriLanka #COVID19LK #SriLankan #RT #එසැණින්පුවත්",2020-10-21 01:26:40
59,1318545007540719616,තහනම් කිරීමෙන් දින 10කට පසුව නැවතත් TikTok තහනම ඉවත් කිරීමට පකිස්ථානය කටයුතු කරයි #TechNewsLK #SriLanka #News https://t.co/GJG3SFzPRh,2020-10-20 13:30:01
60,1318475473362448384,අධික වේගයෙන් ගමන් කරන වාහනයක සිට වුවත් Starlink Internet සම්බන්ධතාවය පවත්වාගත හැකි බව Elon Musk ප්‍රකාශ කරයි #TechNewsLK #SriLanka #News https://t.co/ML1J3sb7F3,2020-10-20 08:53:43
61,1318464124884484096,Makandure Madush - මධූෂ් ගැන පොලිස් මාධ්‍ය ප්‍රකාශක කිව්ව කතාව https://t.co/iOrpp5dzKQ #srilanka #lka #news #news #breaking #today #president,2020-10-20 08:08:37
0,1326698728653139968,අනුරාධපුර පෙරපාසල් ගුරුවරුන් සමග ඔවුන්ගේ ගැටලු  සාකච්ඡා කරමින් #preschoolforall #Playgroup #Nursery #Kids #Education #Fun #PlayandLearn #ChildCare #TheSecondMother #PnMedia #PiyalNishantha #පියල්නිශාන්ත #pnsm #SriLanka #SLPolitician #LKA https://t.co/GQ3lTk7Vg6,2020-11-12 01:30:00
1,1326132162035249153,"සමාන අයිතිවාසිකම් ලැබීම ප්‍රජාතන්ත්‍රවාදයේ හරයයි.
අධ්‍යාපනයට සමාන අවස්ථා තිබිය යුතු ය.

#EqualOpportunity #Democracy #Rights #Equality #EqualDistribution #SriLanka #education https://t.co/DoxxgyQXVc",2020-11-10 11:58:40
2,1326077705389891585,"දැන් තේරෙනවනේ ෆොන්සේකා කියන්නේ කව්ද කියලා..
#lka
#political #SriLankan",2020-11-10 08:22:16
3,1325474558363791361,"විස්සයි විස්ස තරඟාවලි ජය පාකිස්තානයට

සංචාරක සිම්බාබ්වේ කණ්ඩායම පරදවා දෙවැනි විස්සයි විස්ස තරඟ ය කඩුලු 8න් ජයගැනීමට සත්කාරක පාකිස්තාන ක්‍රිකට් කණ්ඩායම අද (08) සමත් විය.
#adaderanasinhala #slnews #lka #Sports

වැඩි විස්තර - https://t.co/FbMmUbkQNP https://t.co/QfmEGAoTLd",2020-11-08 16:25:35
4,1326698728653139968,අනුරාධපුර පෙරපාසල් ගුරුවරුන් සමග ඔවුන්ගේ ගැටලු  සාකච්ඡා කරමින් #preschoolforall #Playgroup #Nursery #Kids #Education #Fun #PlayandLearn #ChildCare #TheSecondMother #PnMedia #PiyalNishantha #පියල්නිශාන්ත #pnsm #SriLanka #SLPolitician #LKA https://t.co/GQ3lTk7Vg6,2020-11-12 01:30:00
5,1326132162035249153,"සමාන අයිතිවාසිකම් ලැබීම ප්‍රජාතන්ත්‍රවාදයේ හරයයි.
අධ්‍යාපනයට සමාන අවස්ථා තිබිය යුතු ය.

#EqualOpportunity #Democracy #Rights #Equality #EqualDistribution #SriLanka #education https://t.co/DoxxgyQXVc",2020-11-10 11:58:40
6,1326077705389891585,"දැන් තේරෙනවනේ ෆොන්සේකා කියන්නේ කව්ද කියලා..
#lka
#political #SriLankan",2020-11-10 08:22:16
7,1325474558363791361,"විස්සයි විස්ස තරඟාවලි ජය පාකිස්තානයට

සංචාරක සිම්බාබ්වේ කණ්ඩායම පරදවා දෙවැනි විස්සයි විස්ස තරඟ ය කඩුලු 8න් ජයගැනීමට සත්කාරක පාකිස්තාන ක්‍රිකට් කණ්ඩායම අද (08) සමත් විය.
#adaderanasinhala #slnews #lka #Sports

වැඩි විස්තර - https://t.co/FbMmUbkQNP https://t.co/QfmEGAoTLd",2020-11-08 16:25:35
8,1326698728653139968,අනුරාධපුර පෙරපාසල් ගුරුවරුන් සමග ඔවුන්ගේ ගැටලු  සාකච්ඡා කරමින් #preschoolforall #Playgroup #Nursery #Kids #Education #Fun #PlayandLearn #ChildCare #TheSecondMother #PnMedia #PiyalNishantha #පියල්නිශාන්ත #pnsm #SriLanka #SLPolitician #LKA https://t.co/GQ3lTk7Vg6,2020-11-12 01:30:00
9,1326132162035249153,"සමාන අයිතිවාසිකම් ලැබීම ප්‍රජාතන්ත්‍රවාදයේ හරයයි.
අධ්‍යාපනයට සමාන අවස්ථා තිබිය යුතු ය.

#EqualOpportunity #Democracy #Rights #Equality #EqualDistribution #SriLanka #education https://t.co/DoxxgyQXVc",2020-11-10 11:58:40
10,1326077705389891585,"දැන් තේරෙනවනේ ෆොන්සේකා කියන්නේ කව්ද කියලා..
#lka
#political #SriLankan",2020-11-10 08:22:16
11,1325474558363791361,"විස්සයි විස්ස තරඟාවලි ජය පාකිස්තානයට

සංචාරක සිම්බාබ්වේ කණ්ඩායම පරදවා දෙවැනි විස්සයි විස්ස තරඟ ය කඩුලු 8න් ජයගැනීමට සත්කාරක පාකිස්තාන ක්‍රිකට් කණ්ඩායම අද (08) සමත් විය.
#adaderanasinhala #slnews #lka #Sports

වැඩි විස්තර - https://t.co/FbMmUbkQNP https://t.co/QfmEGAoTLd",2020-11-08 16:25:35
0,1324607691340369920,"සියළුම ශ්‍රීලංකාවේ පාසල් ගුරුවරුන් සඳහා ඩිජිටල්-තාක්ෂණය මගින් (Zoom, Jitsi, Teams, etc..) online පංති පවත්වන ආකාරය, online presentation, Youtube ගැන දැනුවත් කිරීම කරනු ලැබේ. Inbox/DM හරහා අමතන්න. සේවයක් ලෙස කරනු ලැබේ. ඔබත් කැමති නම් එකතුවන්න. #Covid19 #SriLanka #Education https://t.co/14Ts8iQmNq",2020-11-06 07:00:58
